document_id,document_name,query_name,query_description,ground_truth,prediction,correct,raw_response
0,11724768,hoc_sustaining_proliferative_signaling,Identify if the abstract describes cancer cells sustaining proliferative signaling.,Yes,,,
0,11724768,hoc_evading_growth_suppressors,Identify if the abstract describes cancer cells evading growth suppressors.,No,,,
0,11724768,hoc_resisting_cell_death,Identify if the abstract describes cancer cells resisting cell death.,No,,,
0,11724768,hoc_enabling_replicative_immortality,Identify if the abstract describes cancer cells enabling replicative immortality.,No,,,
0,11724768,hoc_inducing_angiogenesis,Identify if the abstract describes tumors inducing angiogenesis.,No,,,
0,11724768,hoc_activating_invasion_and_metastasis,Identify if the abstract describes cancer cells activating invasion and metastasis.,No,,,
0,11724768,hoc_genomic_instability_and_mutation,Identify if the abstract describes genome instability and mutation.,No,,,
0,11724768,hoc_tumor_promoting_inflammation,Identify if the abstract describes tumor-promoting inflammation.,No,,,
0,11724768,hoc_cellular_energetics,Identify if the abstract describes deregulation of cellular energetics.,No,,,
0,11724768,hoc_avoiding_immune_destruction,Identify if the abstract describes cancer cells avoiding immune destruction.,No,,,
1,11742853,hoc_sustaining_proliferative_signaling,Identify if the abstract describes cancer cells sustaining proliferative signaling.,No,,,
1,11742853,hoc_evading_growth_suppressors,Identify if the abstract describes cancer cells evading growth suppressors.,No,,,
1,11742853,hoc_resisting_cell_death,Identify if the abstract describes cancer cells resisting cell death.,No,,,
1,11742853,hoc_enabling_replicative_immortality,Identify if the abstract describes cancer cells enabling replicative immortality.,No,,,
1,11742853,hoc_inducing_angiogenesis,Identify if the abstract describes tumors inducing angiogenesis.,No,,,
1,11742853,hoc_activating_invasion_and_metastasis,Identify if the abstract describes cancer cells activating invasion and metastasis.,No,,,
1,11742853,hoc_genomic_instability_and_mutation,Identify if the abstract describes genome instability and mutation.,No,,,
1,11742853,hoc_tumor_promoting_inflammation,Identify if the abstract describes tumor-promoting inflammation.,No,,,
1,11742853,hoc_cellular_energetics,Identify if the abstract describes deregulation of cellular energetics.,No,,,
1,11742853,hoc_avoiding_immune_destruction,Identify if the abstract describes cancer cells avoiding immune destruction.,No,,,
2,11773160,hoc_sustaining_proliferative_signaling,Identify if the abstract describes cancer cells sustaining proliferative signaling.,Yes,,,
2,11773160,hoc_evading_growth_suppressors,Identify if the abstract describes cancer cells evading growth suppressors.,Yes,,,
2,11773160,hoc_resisting_cell_death,Identify if the abstract describes cancer cells resisting cell death.,Yes,,,
2,11773160,hoc_enabling_replicative_immortality,Identify if the abstract describes cancer cells enabling replicative immortality.,No,,,
2,11773160,hoc_inducing_angiogenesis,Identify if the abstract describes tumors inducing angiogenesis.,No,,,
2,11773160,hoc_activating_invasion_and_metastasis,Identify if the abstract describes cancer cells activating invasion and metastasis.,No,,,
2,11773160,hoc_genomic_instability_and_mutation,Identify if the abstract describes genome instability and mutation.,No,,,
2,11773160,hoc_tumor_promoting_inflammation,Identify if the abstract describes tumor-promoting inflammation.,No,,,
2,11773160,hoc_cellular_energetics,Identify if the abstract describes deregulation of cellular energetics.,No,,,
2,11773160,hoc_avoiding_immune_destruction,Identify if the abstract describes cancer cells avoiding immune destruction.,No,,,
3,11774243,hoc_sustaining_proliferative_signaling,Identify if the abstract describes cancer cells sustaining proliferative signaling.,No,,,
3,11774243,hoc_evading_growth_suppressors,Identify if the abstract describes cancer cells evading growth suppressors.,No,,,
3,11774243,hoc_resisting_cell_death,Identify if the abstract describes cancer cells resisting cell death.,No,,,
3,11774243,hoc_enabling_replicative_immortality,Identify if the abstract describes cancer cells enabling replicative immortality.,No,,,
3,11774243,hoc_inducing_angiogenesis,Identify if the abstract describes tumors inducing angiogenesis.,No,,,
3,11774243,hoc_activating_invasion_and_metastasis,Identify if the abstract describes cancer cells activating invasion and metastasis.,No,,,
3,11774243,hoc_genomic_instability_and_mutation,Identify if the abstract describes genome instability and mutation.,No,,,
3,11774243,hoc_tumor_promoting_inflammation,Identify if the abstract describes tumor-promoting inflammation.,No,,,
3,11774243,hoc_cellular_energetics,Identify if the abstract describes deregulation of cellular energetics.,No,,,
3,11774243,hoc_avoiding_immune_destruction,Identify if the abstract describes cancer cells avoiding immune destruction.,Yes,,,
4,11781072,hoc_sustaining_proliferative_signaling,Identify if the abstract describes cancer cells sustaining proliferative signaling.,Yes,,,
4,11781072,hoc_evading_growth_suppressors,Identify if the abstract describes cancer cells evading growth suppressors.,No,,,
4,11781072,hoc_resisting_cell_death,Identify if the abstract describes cancer cells resisting cell death.,Yes,,,
4,11781072,hoc_enabling_replicative_immortality,Identify if the abstract describes cancer cells enabling replicative immortality.,No,,,
4,11781072,hoc_inducing_angiogenesis,Identify if the abstract describes tumors inducing angiogenesis.,No,,,
4,11781072,hoc_activating_invasion_and_metastasis,Identify if the abstract describes cancer cells activating invasion and metastasis.,No,,,
4,11781072,hoc_genomic_instability_and_mutation,Identify if the abstract describes genome instability and mutation.,No,,,
4,11781072,hoc_tumor_promoting_inflammation,Identify if the abstract describes tumor-promoting inflammation.,No,,,
4,11781072,hoc_cellular_energetics,Identify if the abstract describes deregulation of cellular energetics.,No,,,
4,11781072,hoc_avoiding_immune_destruction,Identify if the abstract describes cancer cells avoiding immune destruction.,Yes,,,
5,11791181,hoc_sustaining_proliferative_signaling,Identify if the abstract describes cancer cells sustaining proliferative signaling.,Yes,,,
5,11791181,hoc_evading_growth_suppressors,Identify if the abstract describes cancer cells evading growth suppressors.,No,,,
5,11791181,hoc_resisting_cell_death,Identify if the abstract describes cancer cells resisting cell death.,No,,,
5,11791181,hoc_enabling_replicative_immortality,Identify if the abstract describes cancer cells enabling replicative immortality.,No,,,
5,11791181,hoc_inducing_angiogenesis,Identify if the abstract describes tumors inducing angiogenesis.,No,,,
5,11791181,hoc_activating_invasion_and_metastasis,Identify if the abstract describes cancer cells activating invasion and metastasis.,Yes,,,
5,11791181,hoc_genomic_instability_and_mutation,Identify if the abstract describes genome instability and mutation.,No,,,
5,11791181,hoc_tumor_promoting_inflammation,Identify if the abstract describes tumor-promoting inflammation.,No,,,
5,11791181,hoc_cellular_energetics,Identify if the abstract describes deregulation of cellular energetics.,No,,,
5,11791181,hoc_avoiding_immune_destruction,Identify if the abstract describes cancer cells avoiding immune destruction.,No,,,
6,11802212,hoc_sustaining_proliferative_signaling,Identify if the abstract describes cancer cells sustaining proliferative signaling.,No,,,
6,11802212,hoc_evading_growth_suppressors,Identify if the abstract describes cancer cells evading growth suppressors.,No,,,
6,11802212,hoc_resisting_cell_death,Identify if the abstract describes cancer cells resisting cell death.,No,,,
6,11802212,hoc_enabling_replicative_immortality,Identify if the abstract describes cancer cells enabling replicative immortality.,No,,,
6,11802212,hoc_inducing_angiogenesis,Identify if the abstract describes tumors inducing angiogenesis.,No,,,
6,11802212,hoc_activating_invasion_and_metastasis,Identify if the abstract describes cancer cells activating invasion and metastasis.,No,,,
6,11802212,hoc_genomic_instability_and_mutation,Identify if the abstract describes genome instability and mutation.,No,,,
